title,address,capacity,postcode
Supermax,"14 Handyside St, King's Cross, London, N1C 4DN, , United Kingdom",80.0,N1C 4DN
Tap East,"7 International Square, London E20 1EE, UK United Kingdom",150.0,E20 1EE
Theatre Delicatessen,2 Finsbury Avenue Broadgate EC2M 2PA United Kingdom,150.0,EC2M 2PA
TT Liquor,"17B Kingsland Road, London E2 8AA, UK United Kingdom",100.0,E2 8AA
Tuck Inn,"13 Bradbury St, Dalston, London N16 8JN, UK United Kingdom",80.0,N16 8JN
Two Tribes Brewhouse and Taproom,"Tile Yard Studios, Tileyard Road, Kings Cross, London N7 9AH United Kingdom",150.0,N7 9AH
Vinyl Pimp Record Shop,"14 Felstead Street, Hackney Wick, London, E9 5LT United Kingdom",80.0,E9 5LT
Vortex Jazz Club,11 Gillett Square De Beauvoir London N16 8JH United Kingdom,140.0,N16 8JH
The Waiting Room,175 Stoke Newington High Street Stoke Newington London N16 0LH United Kingdom,120.0,N16 0LH
Wild Card Brewery,"Unit 7, Ravenswood Industrial Estate, Shernhall Street, Walthamstow, London E17 9HQ United Kingdom",110.0,E17 9HQ
Work BAR,"3 Chapel Market, Angel, London N1 9EZ United Kingdom",120.0,N1 9EZ
Work Bar,"3 Chapel Market, London N19EZ United Kingdom",100.0,N19EZ
